driverId,forename,surname,nationality,dob,max_lap_times,avg_lap_times,min_lap_times
836,Pascal,Wehrlein,German,1994-10-18,"['{""2016"": 2118880}', '{""2017"": 1455132}']","['{""2016"": 103381.83874045801}', '{""2017"": 96069.81223628692}']","['{""2016"": 70859}', '{""2017"": 69241}']"
837,Rio,Haryanto,Indonesian,1993-01-22,"['{""2016"": 203761}']","['{""2016"": 94688.58592471358}']","['{""2016"": 70342}']"
838,Stoffel,Vandoorne,Belgian,1992-03-26,"['{""2016"": 119313}', '{""2017"": 1461321}', '{""2018"": 187320}']","['{""2016"": 100501.625}', '{""2017"": 98102.35646687697}', '{""2018"": 94856.24916666666}']","['{""2016"": 96121}', '{""2017"": 68422}', '{""2018"": 68894}']"
839,Esteban,Ocon,French,1996-09-17,"['{""2016"": 2121063}', '{""2017"": 1456844}', '{""2018"": 180424}', '{""2020"": 1682247}', '{""2021"": 2236939}', '{""2022"": 3085945}']","['{""2016"": 114151.51181102362}', '{""2017"": 97000.1781557744}', '{""2018"": 91137.14068441065}', '{""2020"": 94688.26713124274}', '{""2021"": 96514.23697916667}', '{""2022"": 97994.76749798874}']","['{""2016"": 84964}', '{""2017"": 68659}', '{""2018"": 68850}', '{""2020"": 57350}', '{""2021"": 69576}', '{""2022"": 69559}']"
840,Lance,Stroll,Canadian,1998-10-29,"['{""2017"": 1475189}', '{""2018"": 188133}', '{""2019"": 178539}', '{""2020"": 1682062}', '{""2021"": 2238138}', '{""2022"": 3203101}']","['{""2017"": 95856.3380952381}', '{""2018"": 95660.41089965397}', '{""2019"": 93486.84475639967}', '{""2020"": 94001.14012738854}', '{""2021"": 95216.88547008547}', '{""2022"": 98720.70583468395}']","['{""2017"": 68777}', '{""2018"": 69203}', '{""2019"": 69288}', '{""2020"": 57388}', '{""2021"": 68659}', '{""2022"": 70004}']"
841,Antonio,Giovinazzi,Italian,1993-12-14,"['{""2017"": 156151}', '{""2019"": 178487}', '{""2020"": 1682496}', '{""2021"": 2241267}']","['{""2017"": 95101.77586206897}', '{""2019"": 93658.38645747316}', '{""2020"": 92207.1287793953}', '{""2021"": 97992.11164274323}']","['{""2017"": 89052}', '{""2019"": 69051}', '{""2020"": 56887}', '{""2021"": 69042}']"
843,Brendon,Hartley,New Zealander,1989-11-10,"['{""2017"": 137971}', '{""2018"": 178161}']","['{""2017"": 96195.22346368716}', '{""2018"": 95526.26826826826}']","['{""2017"": 74658}', '{""2018"": 69171}']"
844,Charles,Leclerc,Monegasque,1997-10-16,"['{""2018"": 187364}', '{""2019"": 182193}', '{""2020"": 1576166}', '{""2021"": 2227083}', '{""2022"": 3191677}']","['{""2018"": 93275.1843100189}', '{""2019"": 92773.33564013841}', '{""2020"": 100032.67031630171}', '{""2021"": 97752.12227074236}', '{""2022"": 97835.05382674516}']","['{""2018"": 69006}', '{""2019"": 67994}', '{""2020"": 67901}', '{""2021"": 68698}', '{""2022"": 67583}']"
845,Sergey,Sirotkin,Russian,1995-08-27,"['{""2018"": 179551}']","['{""2018"": 93758.17531305904}']","['{""2018"": 68971}']"
846,Lando,Norris,British,1999-11-13,"['{""2019"": 204844}', '{""2020"": 1681270}', '{""2021"": 2231598}', '{""2022"": 3194854}']","['{""2019"": 94293.52177858439}', '{""2020"": 95659.02266009852}', '{""2021"": 96593.35322976288}', '{""2022"": 98693.2873104549}']","['{""2019"": 68699}', '{""2020"": 57270}', '{""2021"": 68471}', '{""2022"": 69304}']"
847,George,Russell,British,1998-02-15,"['{""2019"": 179793}', '{""2020"": 1682425}', '{""2021"": 2241085}', '{""2022"": 1290766}']","['{""2019"": 93507.00169204737}', '{""2020"": 95997.56813186813}', '{""2021"": 94998.37598597721}', '{""2022"": 95694.16451612904}']","['{""2019"": 69926}', '{""2020"": 55404}', '{""2021"": 68900}', '{""2022"": 69075}']"
848,Alexander,Albon,Thai,1996-03-23,"['{""2019"": 179118}', '{""2020"": 1682347}', '{""2022"": 1297333}']","['{""2019"": 93254.5437751004}', '{""2020"": 95682.66800804829}', '{""2022"": 95371.97454545455}']","['{""2019"": 68946}', '{""2020"": 57056}', '{""2022"": 69669}']"
849,Nicholas,Latifi,Canadian,1995-06-29,"['{""2020"": 1683067}', '{""2021"": 2242718}', '{""2022"": 3198246}']","['{""2020"": 95542.47322404372}', '{""2021"": 97187.38623005878}', '{""2022"": 98955.64761904762}']","['{""2020"": 58206}', '{""2021"": 68874}', '{""2022"": 70890}']"
850,Pietro,Fittipaldi,Brazilian,1996-06-25,"['{""2020"": 164251}']","['{""2020"": 80792.57142857143}']","['{""2020"": 57742}']"
851,Jack,Aitken,British,1995-09-23,"['{""2020"": 108753}']","['{""2020"": 63319.402298850575}']","['{""2020"": 57392}']"
852,Yuki,Tsunoda,Japanese,2000-05-11,"['{""2021"": 2240798}', '{""2022"": 3148409}']","['{""2021"": 99996.72912801485}', '{""2022"": 99573.47411444141}']","['{""2021"": 68455}', '{""2022"": 70023}']"
853,Nikita,Mazepin,Russian,1999-03-02,"['{""2021"": 2253574}']","['{""2021"": 99968.55555555556}']","['{""2021"": 69757}']"
854,Mick,Schumacher,German,1999-03-22,"['{""2021"": 2240706}', '{""2022"": 3197410}']","['{""2021"": 97258.92246696036}', '{""2022"": 99276.43870402803}']","['{""2021"": 69394}', '{""2022"": 69625}']"
855,Guanyu,Zhou,Chinese,1999-05-30,"['{""2022"": 1288793}']","['{""2022"": 94793.01320754716}']","['{""2022"": 69380}']"
856,Nyck,de Vries,Dutch,1995-02-06,"['{""2022"": 122870}']","['{""2022"": 91219.49056603774}']","['{""2022"": 86624}']"
